Hour,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
2003,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2004,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2005,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2006,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2007,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2008,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2009,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2010,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2011,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2012,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2013,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2014,0,432,864,1295,1727,2159,2591,3023,3455,3886,4318,4750,5182,5614,6045,6477,6909,7341,7773,8205,8636,9068,9500,9932,10364,10795,11227,11659,12091,12523,12955,13386,13818,14250,14682,15114
2015,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2016,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2017,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2018,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2019,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2020,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2021,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2022,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2023,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2024,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2025,0,464,927,1391,1855,2318,2782,3245,3709,4173,4636,5100,5564,6027,6491,6955,7418,7882,8345,8809,9273,9736,10200,10664,11127,11591,12055,12518,12982,13445,13909,14373,14836,15300,15764,16227
2026,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2027,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2028,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2029,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2030,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2031,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2032,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2033,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2034,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2035,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2036,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2037,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2038,0,432,864,1295,1727,2159,2591,3023,3455,3886,4318,4750,5182,5614,6045,6477,6909,7341,7773,8205,8636,9068,9500,9932,10364,10795,11227,11659,12091,12523,12955,13386,13818,14250,14682,15114
2039,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2040,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2041,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2042,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2043,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2044,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2045,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2046,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2047,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2048,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2049,0,464,927,1391,1855,2318,2782,3245,3709,4173,4636,5100,5564,6027,6491,6955,7418,7882,8345,8809,9273,9736,10200,10664,11127,11591,12055,12518,12982,13445,13909,14373,14836,15300,15764,16227
2050,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2051,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2052,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2053,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2054,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2055,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2056,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2057,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2058,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2059,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2060,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2061,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2062,0,432,864,1295,1727,2159,2591,3023,3455,3886,4318,4750,5182,5614,6045,6477,6909,7341,7773,8205,8636,9068,9500,9932,10364,10795,11227,11659,12091,12523,12955,13386,13818,14250,14682,15114
2063,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2064,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2065,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2066,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2067,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2068,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2069,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2070,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2071,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2072,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2073,0,464,927,1391,1855,2318,2782,3245,3709,4173,4636,5100,5564,6027,6491,6955,7418,7882,8345,8809,9273,9736,10200,10664,11127,11591,12055,12518,12982,13445,13909,14373,14836,15300,15764,16227
2074,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2075,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2076,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2077,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2078,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2079,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2080,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2081,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2082,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2083,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2084,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2085,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2086,0,432,864,1295,1727,2159,2591,3023,3455,3886,4318,4750,5182,5614,6045,6477,6909,7341,7773,8205,8636,9068,9500,9932,10364,10795,11227,11659,12091,12523,12955,13386,13818,14250,14682,15114
2087,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2088,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2089,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2090,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2091,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2092,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2093,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2094,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2095,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2096,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2097,0,464,927,1391,1855,2318,2782,3245,3709,4173,4636,5100,5564,6027,6491,6955,7418,7882,8345,8809,9273,9736,10200,10664,11127,11591,12055,12518,12982,13445,13909,14373,14836,15300,15764,16227
2098,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2099,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2100,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2101,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2102,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2103,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2104,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2105,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2106,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2107,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2108,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2109,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2110,0,432,864,1295,1727,2159,2591,3023,3455,3886,4318,4750,5182,5614,6045,6477,6909,7341,7773,8205,8636,9068,9500,9932,10364,10795,11227,11659,12091,12523,12955,13386,13818,14250,14682,15114
2111,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2112,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2113,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2114,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2115,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2116,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2117,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2118,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2119,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2120,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2121,0,464,927,1391,1855,2318,2782,3245,3709,4173,4636,5100,5564,6027,6491,6955,7418,7882,8345,8809,9273,9736,10200,10664,11127,11591,12055,12518,12982,13445,13909,14373,14836,15300,15764,16227
2122,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2123,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2124,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2125,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2126,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2127,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2128,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2129,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2130,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2131,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2132,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2133,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2134,0,432,864,1295,1727,2159,2591,3023,3455,3886,4318,4750,5182,5614,6045,6477,6909,7341,7773,8205,8636,9068,9500,9932,10364,10795,11227,11659,12091,12523,12955,13386,13818,14250,14682,15114
2135,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2136,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2137,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2138,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2139,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2140,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2141,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2142,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2143,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2144,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
2145,0,464,927,1391,1855,2318,2782,3245,3709,4173,4636,5100,5564,6027,6491,6955,7418,7882,8345,8809,9273,9736,10200,10664,11127,11591,12055,12518,12982,13445,13909,14373,14836,15300,15764,16227
2146,0,677,1355,2032,2709,3386,4064,4741,5418,6095,6773,7450,8127,8805,9482,10159,10836,11514,12191,12868,13545,14223,14900,15577,16255,16932,17609,18286,18964,19641,20318,20995,21673,22350,23027,23705
2147,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
2148,0,409,818,1227,1636,2045,2455,2864,3273,3682,4091,4500,4909,5318,5727,6136,6545,6955,7364,7773,8182,8591,9000,9409,9818,10227,10636,11045,11455,11864,12273,12682,13091,13500,13909,14318
